path,sha256,size
.github/PULL_REQUEST_TEMPLATE.md,63febc36e7c5f87985e963c487cd2a565edd6b059bbc85f964b38829a135a1b9,752
.gitignore,4d6dc330ac36de140d368e609f6b477ff482f02827b3d67ab5cf1326bdac64ae,60
.travis.yml,0c1ce72daaf4ac48efc06181be2f009c9c4c061a598dd3f0fc74d684ac137de6,887
COPYING.txt,37a06760eefb25732ff0196272c3da1c2caa56af0612dd9a76d600ebe1a979ef,631
README.md,23e1e44bfaa5f72e522867879a81e0d7c34041824a023012720fbfb8bacc2af6,255
autoload.php,bc466db79399cb3080ad07d6f06d86b9a021d160ae553d0f46b9dc5384d61ff7,976
bin/ece-tools,57c1ed8353ab06cec0b677bfbc9f89841cd6e0eca8b4ab8c1d4b41c2cf3311d4,269
bootstrap.php,7588e54236310ce49c235920cf52d0e49043c4d522759726a701c9b430200d60,364
composer.json,c9c7fb6748c67c9322304aed6dfc9c5aba214ea900c1f39021542089d3e323fc,1763
docker-compose-7.0.yml,a22022b8ef93092f2fa075e0f5fd1df0b107b3669bbc6eaf0ae2061774740e31,1191
docker-compose-7.1.yml,985c45666c2c4e60666aca5a0589221869341865437bd2b1f537cae6b92fc9df,1191
docker/.gitignore,376f83cc7f4ab326a7452e30d35c43da4da8a101a08b1752937ac4ee957da6e9,13
docker/global.env,6062c0c2209fd915e44be8f538350bfc5eb95b34e67a14daf67eae1373e7f631,138
m2-ece-build,962f7e7781269af3304c0f30ffbd55268ae6d77125cbbd44796ea17439f598f8,337
m2-ece-deploy,23fa9a4db9929fdab0e2d1edb755865c9867207f6e21885cab057c3a02cf9b8c,339
m2-ece-scd-dump,c943b49a827126dc7a8c3fa07dc374d86f1f42a6192c8cef602bb8eb25f28f58,342
patches.json,c9ccb49f954cee86f6a0520429c176fd7bfd0debcad5c1be21f640e5014dfe50,5117
patches/2.1/MAGETWO-53941.patch,70a4f72b29cb586da1d56a79e8ffd013ff71bdcdd68a0175eb85959f93b4fc86,3833
patches/2.1/MAGETWO-57799.patch,e8b7d47dca7ef646ce22a97443a6b3754add813f323035c27761ceae575192b9,10420
patches/2.1/MAGETWO-67805.hotfix.git-composer-compatible.patch,dae59c43387a4c797ea4ce8fe56893447eea56f0c4745a036787918627c243d8,7332
patches/2.1/MAGETWO-69847-2.1.x.patch,72bface1324512d383650400469558489568a086aaaae69a8d4c2bb0962e38a0,5602
patches/2.1/MAGETWO-88336.patch,273fb4b68583a719e6687e97f0fd4e2b796fad93e0f08d963fbae7497335e018,636
patches/2.1/change-vendor-path.patch,684a2315d3b966e72a8a60560eaa441c0278d6d7fc55c22f17bff11c66b8c00e,1471
patches/2.1/fix-cron-2.1.13-plus.patch,c95e7ec68f66cf4d7bbf2266641cf95651d132402c082695fb75596be0636c8d,35603
patches/2.1/fix-cron-2.1.4.patch,a06f0f9bb4fa89226d718c8f45b1243143875a0d1b57c422a1dd82da5315400e,36084
patches/2.1/fix-cron-2.1.5-2.1.12.patch,e6dea2695113a2b1def0a23c4623fe90f3edbcfd1997466ccc7cf8ba10047e58,36114
patches/2.1/fix-oom-during-import-customers-and-addresses.magento-2.1.11.patch,cc7e498638a327154c7a7a4309ab1340800b1898db7aabf9797d465a13fa5dae,4564
patches/2.1/fix-oom-during-import-customers-and-addresses.magento-2.1.4.patch,ecf43ad6e1f143c0420a1b7b6dbb9970d0a3f793dbd9713dc49f01ccb1f3f1b4,4785
patches/2.1/fix-oom-during-import-customers-and-addresses.magento-2.1.5.patch,ad97b4ab1315aa6a18e2fc657dd518037d6ace27bad13305157fd73aed38d72e,4781
patches/2.1/fix-redis-session-manager-locking.patch,0f90ba22e3f9552dee875e88f5c1feee162c4656892ae4093ea0da192e1abb58,962
