path,sha256,size
.gitignore,8553c7af2e270b32cbc724b52fe6d2bdfa6b04cb83420892ec24ff93079c9985,41
.travis.yml,bb596b94de6264d91334dab9359f5d987ae05a5c9ae381f57640bf1c728990be,604
COPYING.txt,b1c38abca0ea6ae55f67b1fc99ba87db9b6e06a1afd7646984f45e5ce5ea8a9a,618
Console/Command/ConfigShowDefaultUrlCommand.php,8d7269d61ca2fd8e34ca540b3ae2c9da4f3c8f10ac70c4281d9cf95f9961852e,1842
Console/Command/ConfigShowEntityUrlsCommand.php,a62e748c5f5451d08ce19d29619df1dacb9d36f53c016be8a65c3179d7f0d2f7,5320
Console/Command/ConfigShowStoreUrlCommand.php,8a820edbf79b5121eda82d041abae8ebe9873f87e9cb750853a1aab319fda91a,2966
LICENSE_OSL.txt,3096bc70789e3ba6bee208c861abe631c664e5e79b6636cd37d7d0fcb3cbce1c,10318
Model/UrlFinder/Entity.php,e9c3c083c7060e4083857c500ae7ef8cdece6f51b9314c56f2a6d97365279d21,2189
Model/UrlFinder/Product.php,b7bbe9a32dbbec7c55312f9307f8f0c1770e43e969ef6008a358e01678582785,2796
Model/UrlFinderFactory.php,ccf74517763a884c8501ead6acac80dc9bc2f98975e8147e6a1482670c663e54,1822
Model/UrlFinderInterface.php,5aea36c1a4c4a381d9a571d735c3912cfb1d7a893c1e7885f3ef7442cad14641,331
Model/UrlFixer.php,076d3034e61cc038f86fc26a097be2361ef2a683fcb606d6c8273d5b8bd2006f,802
README.md,ae74f97e11ebc0a5677b2ed2d36753aaf0c441e11abebac1f9a71be433bd76df,2753
Test/Unit/Model/UrlFinder/EntityTest.php,ad27a194691450b2e50bff7c30ebdc0d4b57edcdf296521e55fd2efb9b3c3ac3,4479
Test/Unit/Model/UrlFinderFactoryTest.php,9e8ae48e014c76a10a79725545589b28e09d3644f6bfea3605bc47bd27f93b8e,2383
Test/Unit/Model/UrlFixerTest.php,ddcbd07cabd8f5931e5abb4c961a648362a7a537227f5d32a7ae211c2264b8ae,3552
Test/Unit/phpunit.xml.dist,d16167365b06a3cd0b9e94a64f79d1ce577a9821d8e684346f283c8dce7e6cc6,562
Test/static/Sniffs/Directives/StrictTypesSniff.php,4996af5fc6f4b8a3604273573ba93c87dae7adf05b741455999b0d40ce21ce69,3694
Test/static/Sniffs/Whitespace/MultipleEmptyLinesSniff.php,5856f87e26d77dddc15852fad5f8ea7dbe427a5c16536a2afd26ca52a74772ea,1619
Test/static/phpcs-ruleset.xml,9fffd875b8be4693224d516abcbe03f23e56516171bc4f7f11e3ceee65099c7b,1012
Test/static/phpmd-ruleset.xml,27df3e374af75e0a53b7e1fb85487302f16ef543b40ded0bc966d2de0842373b,2002
Test/static/phpstan.neon,095cf56c75532473f0d7b2aa932c50adc608dd117148f6df6e2f80eeca6a748b,260
Test/static/static-travis.sh,faec96cc1e973212c3a00532ca96e3937a9a7f22bd71ce78181e838ca0bd00bb,551
composer.json,10981e0999c30795484e47a8a043b8b2aaa898ef3e6e045f7eac7d2b6030e701,1341
etc/di.xml,080fb658808e7bfd63bc49136d1334cfc260448d288b441b72f4818cff16d358,930
etc/module.xml,e94c1d10ab3f4f31e62a7c8f817140f9b69f941ca1f33024710e0dabc800c154,347
registration.php,d60c65692f2751ed120729359b6831079b7e96807ebe8fe353beccbeef15f663,254
