path,sha256,size
.github/.metadata.json,98a3f3025ab3dfcb3e4161bd977c2cd7a15011fc0d3f7049848fac74f440d1b1,691
.github/CODE_OF_CONDUCT.md,133382829e802fc33d32f25e08915879a4e9daaec0a096c9ab38eacca4266231,5506
.github/CONTRIBUTING.md,6aa978feca15e99628998c28605a9a20b87c873500865018b462c4f282f18bac,4932
.github/ISSUE_TEMPLATE/bug_report.md,c0c32689dbfed4ba49fc3d0871813a2cb9ec44e2787a7cce6535194e31ad027a,1077
.github/ISSUE_TEMPLATE/feature_request.md,97f2fb2fce0b88887ee947a67967a7d7a2f3405da21071c4c29761bea61fbd91,594
.github/PULL_REQUEST_TEMPLATE.md,5fcd12c4ece71d9deaf491a19b330b50702408ffa2a394662416fae8c9dfa827,1956
.gitignore,4df6719e747868117bb5b3aa9acf1b10426bcdf5fc4dfaae9d7d52b1ed687da6,138
COPYING.txt,9ac962594d6e11d6c094e3100e27cbd3c7c298b0c6087b87bfb71e86c853ecd2,322
LICENSE.txt,6cec3dc6871d2bb4259cd61e61c2a9e87dc9010bdd6b1c0abfaacd466ccf8e5d,10365
LICENSE_AFL.txt,49d9aa4c0615ff95305681c358fa1575f54ed3a512b016f61c71d6784860dd8d,10376
LICENSE_MIT.txt,d8d0fde4d2a531ff1ee29d453e7d64c821f8c44b287cdc8a39cbe88d172efb6b,1101
README.md,0b4a276cd40d3a331e3d1252a272b29de3697ba63fd35dbced4eda251f5d05ef,3291
autoload.php,3efa4d2a0a6299feac2e97498778ddad661723fcaf01d040ab7ee5a1c81c2b13,463
bin/.gitignore,6ce943bd9eab14d271ac2167a33ccac156fa4b0bd695e5ed56893dec3c5078df,7
bin/ece-docker,aa401b13881af3906783eb9a0def98efdd1f95570efba6b23e30f2fb52fa878d,262
bin/init-docker.sh,03e407ca1c093608de34e881dc19ba6bdf5a5d9f37f20374f2b505b4be640a61,3884
bootstrap.php,b54d72d53bcbf120863171eb825a94be0506b9eadd6c6cc38356f831ec4f1d13,216
codeception.dist.yml,77e1559918b070b03d5880b83b7738c375f94059551ecf0a14d89c5283873692,3263
composer.json,a9bfd5f2c77962b9ef71e7aa846964b5fed47763b25dd13a16d3275cc41f9d69,3355
config/services.xml,36a7b8a1c7eb8e8855a5caf0f7beee8b18ec69e37bc2c543cc2491405b5d65c4,5350
dist/bin/magento-docker,29a9be13bf54832a6932c044602fd0e442d6c5d3ad439fcd73265c3e7086c4f7,5313
dist/docker-sync.yml,776afbc30929a1ef9d40b8eb7a8335b01c38cc73830aefb75da3e2c60684c152,265
dist/mnt/.gitignore,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
dist/mutagen.sh,6790a17775319e5e533bc96ce410e30b82bd4b15302e692cbc35e5c38a51f8f2,935
dist/mysql-quote/docker-entrypoint-initdb.d/.gitignore,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
dist/mysql-sales/docker-entrypoint-initdb.d/.gitignore,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
dist/mysql/.gitignore,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
dist/mysql/docker-entrypoint-initdb.d/.gitignore,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
dist/mysql/mariadb.conf.d/example.cnf,21bcaae9dbbe4ec918e7f78eccaf2c8501667d460653865d386e38afaf1b52bb,527
dist/php.dev.ini,6b4211efaded8bace81543b5fe995a58c7e0a66d3ed07525c08c743dec5d56a3,69
dist/tmp/.gitignore,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
docker-images-script/elasticsearch/elasticsearch-build.sh,c5f5ea235bcfdcac6b035f7eb4f047443bb5f756cf7bd59966c64eb840bc61e3,1895
docker-images-script/image-matrix.sh,0a91a7c3255243e5e2dde37b55577cd664bc3892a35927df91f5a9ff249f3f65,1018
docker-images-script/mail-hog/mail-hog-build.sh,92b268361c19ae2d7dac57f8bcae23354cdc2b93907594f250d10a081d2597cd,3407
docker-images-script/nginx/nginx-build.sh,4af2775a7903fa3a467f0beeb2ed33cb29f9417edb99541b91f56b06cc68411c,1837
docker-images-script/opensearch/opensearch-build.sh,4fcb0c60f8c760dd6f6bbf2db53d5d0765eb7b9fb2a009ddaf8da0226c0c247f,2044
docker-images-script/php/php-build.sh,defe813fa556fa4c59ba4156f3360564ffb06e938c2e78b102e7eea7160b7b81,2184
docker-images-script/promote-release.sh,b1801106b6ee33dfc29d969ec1c53b6c6281d19bcc6b5aba8e3e20217153ce18,5042
docker-images-script/varnish/varnish-build.sh,9bab3fa5c97643966a2dcacba7f41cb1b7d64e22635da83a13ba102eabcc5d9e,2244
images/elasticsearch/7.10/Dockerfile,7105aa19fc36b836a4063b82ffe977267b0b5a62393970bfd3c3a5643ea3792b,1017
images/elasticsearch/7.10/docker-entrypoint.sh,704769f08c1edb3fbd9f1fc5d384a6b776f1078ef55a6ad83d73899b6446e43c,246
images/elasticsearch/7.10/docker-healthcheck.sh,3b56388ca049705e1c974e2c8b9db87ffc7f06382c6a7fdf24908a8994c57fd1,395
images/elasticsearch/7.11/Dockerfile,7b6720ca8b7e488e77d5c7e0ea8337e8161f47e46e28e25c44e107b7ec241951,1017
images/elasticsearch/7.11/docker-entrypoint.sh,704769f08c1edb3fbd9f1fc5d384a6b776f1078ef55a6ad83d73899b6446e43c,246
images/elasticsearch/7.11/docker-healthcheck.sh,3b56388ca049705e1c974e2c8b9db87ffc7f06382c6a7fdf24908a8994c57fd1,395
images/elasticsearch/es/Dockerfile,e2a667e3c4b281e6e285af8e96eee68e13c6ca5248aa675c70dee53d78125833,522
images/elasticsearch/es/docker-entrypoint.sh,704769f08c1edb3fbd9f1fc5d384a6b776f1078ef55a6ad83d73899b6446e43c,246
images/elasticsearch/es/docker-healthcheck.sh,3b56388ca049705e1c974e2c8b9db87ffc7f06382c6a7fdf24908a8994c57fd1,395
images/mailhog/1.0/Dockerfile,2274382741a9004e8ffa212f79013588ce0b91dd91d5631761a8f5578e1cb687,516
images/nginx/1.24/Dockerfile,6e21529aba989273082a3be5bc4ab0b3ec0b3a63231960507c77b661bd0d8c61,1059
images/nginx/1.24/docker-entrypoint.sh,5b467748d0d81c8984166b44e721da676183f2afce56b37af0983743521483db,1529
images/nginx/1.24/etc/nginx.conf,c828273fd11e906f806ad98feb941863ce7c414373374832155e2e04b11190eb,832
images/nginx/1.24/etc/vhost.conf,571839d16ac0e59bf8f3bad74bee8a00e4590ef4b84d73d8255169b3ce52af82,6471
images/nginx/1.24/etc/xdebug-upstream.conf,513a949a5717863524977b96cbb0eafc71ea51b7d6b5756ee3029fc6dd528507,105
images/nginx/1.30/Dockerfile,5178e822f6da8c3aba0ed1ec5ae07e3469083dc78e0caa80b1cd01e5cb4aa17f,1061
images/nginx/1.30/docker-entrypoint.sh,5b467748d0d81c8984166b44e721da676183f2afce56b37af0983743521483db,1529
images/nginx/1.30/etc/nginx.conf,c828273fd11e906f806ad98feb941863ce7c414373374832155e2e04b11190eb,832
images/nginx/1.30/etc/vhost.conf,571839d16ac0e59bf8f3bad74bee8a00e4590ef4b84d73d8255169b3ce52af82,6471
images/nginx/1.30/etc/xdebug-upstream.conf,513a949a5717863524977b96cbb0eafc71ea51b7d6b5756ee3029fc6dd528507,105
images/opensearch/1.1/Dockerfile,5550a73e390032848afa6eaf15d1334e04ecc15d4fb64dba20ebd766ac85660b,640
images/opensearch/1.1/docker-entrypoint.sh,302beed1c34abe4d9d40ea0bf05b521f9c270a285712222d4f69b4c2b69bd6c4,262
images/opensearch/1.1/docker-healthcheck.sh,2f60b5c86c73a2b703df118bff11dbddb4c9f4a186d99f041f13715469cb6ce8,392
images/opensearch/1.2/Dockerfile,eeada8ae48ba2e8ef08015696a42ee5543453ca4514de71656399f778340059b,640
images/opensearch/1.2/docker-entrypoint.sh,302beed1c34abe4d9d40ea0bf05b521f9c270a285712222d4f69b4c2b69bd6c4,262
images/opensearch/1.2/docker-healthcheck.sh,2f60b5c86c73a2b703df118bff11dbddb4c9f4a186d99f041f13715469cb6ce8,392
images/opensearch/1.3/Dockerfile,03386999824d2c79a0e568906fc3872f4523c78845d493f343aeb75c1f6aadd8,640
images/opensearch/1.3/docker-entrypoint.sh,302beed1c34abe4d9d40ea0bf05b521f9c270a285712222d4f69b4c2b69bd6c4,262
images/opensearch/1.3/docker-healthcheck.sh,2f60b5c86c73a2b703df118bff11dbddb4c9f4a186d99f041f13715469cb6ce8,392
images/opensearch/2.12/Dockerfile,4e870be2ab686ffff64f75d0ddc597ccbb4e2c91958cfdf870fa0ef2267d768c,641
images/opensearch/2.12/docker-entrypoint.sh,302beed1c34abe4d9d40ea0bf05b521f9c270a285712222d4f69b4c2b69bd6c4,262
images/opensearch/2.12/docker-healthcheck.sh,2f60b5c86c73a2b703df118bff11dbddb4c9f4a186d99f041f13715469cb6ce8,392
images/opensearch/2.19/Dockerfile,b990f35e3393d732b4faff3be21861854ff3cffa6b8bf26b02357378f390d784,641
images/opensearch/2.19/docker-entrypoint.sh,302beed1c34abe4d9d40ea0bf05b521f9c270a285712222d4f69b4c2b69bd6c4,262
images/opensearch/2.19/docker-healthcheck.sh,2f60b5c86c73a2b703df118bff11dbddb4c9f4a186d99f041f13715469cb6ce8,392
images/opensearch/2.3/Dockerfile,32cc881ff9841c631712f987a13faa2665dde842f00cd49aa502f95be4a489e0,640
images/opensearch/2.3/docker-entrypoint.sh,302beed1c34abe4d9d40ea0bf05b521f9c270a285712222d4f69b4c2b69bd6c4,262
images/opensearch/2.3/docker-healthcheck.sh,2f60b5c86c73a2b703df118bff11dbddb4c9f4a186d99f041f13715469cb6ce8,392
images/opensearch/2.4/Dockerfile,cd945ba546da472ff6f4836e2dbf99141486cb201b45c5006f96c60c95b39be6,640
images/opensearch/2.4/docker-entrypoint.sh,302beed1c34abe4d9d40ea0bf05b521f9c270a285712222d4f69b4c2b69bd6c4,262
