path,sha256,size
Controller/Adminhtml/Config/DisableAdminUsage.php,6015598732645264cfdd20534b2ec7f0837c7655cf02dcd6db3827838ddf072b,2711
Controller/Adminhtml/Config/EnableAdminUsage.php,f9d13dc7c6544cfdeaee67e1e0d13d72bf38b63189728bd814034c300d0fd105,2727
Model/Condition/CanViewNotification.php,f8e322ab1069648f919ee554c3a8549a5c7c95387cd5db4217093148d78c3068,1984
Model/ResourceModel/Viewer/Logger.php,259ecece225ef9250ca0c35033dc14fdd576bb5467a5b3da6245809f1936c582,2740
Model/Viewer/Log.php,3c1d7cb4276458cae5c2c99ad1a53675ac9928784ab0f6de1b73913f4b5dad24,593
README.md,e08cebd029201bf6816c44b9758961a82a203aaaf4f7df975ec4c3318b695991,222
Test/Mftf/ActionGroup/AdminLoginActionGroup.xml,d7bc264224a5fad8e098735ee87f58594db69ccf28d620549ae909c44a535e64,616
Test/Mftf/ActionGroup/CloseAllDialogBoxesActionGroup.xml,515dfaa2a8430bdc0af500541fcc62d0a2edbfee7a4d669331ab1655471e9844,2022
Test/Mftf/ActionGroup/SelectAdminUsageSettingActionGroup.xml,9c2f48abd7d0b273b8764871d18a856002e4b721275fe9f2606ac2f68286c3b2,903
Test/Mftf/Section/AdminHeaderSection.xml,e9807608ec2b39821f0dcf24d87ee7a3ef43d25e38808916658dbd04664856e8,551
Test/Mftf/Section/AdminUsageConfigSection.xml,59dabf915ba69b679a8ec43fecc03add072b4c4ad7b30a7caab4a2ff25478242,502
Test/Mftf/Section/AdminUsageNotificationSection.xml,7756c9d91564a81c0e05d4200c6b68727b2a4e049401a14feb1baa42da0bb31e,546
Test/Mftf/Test/AdminCheckAnalyticsTrackingTest.xml,5465623789123879b48d56126d22fee8e61108bf688f9d24b57f49a468833b70,5443
Test/Mftf/class-file-naming-allowlist,4354a6a82ad990fdc4687e9358b6229280e7292a731fbd3c42e98ec87e56dcdf,44
Test/Unit/Condition/CanViewNotificationTest.php,33477f3416b324dc20541132cd52e740ab1dbd8f51d9810927adde5e64cacf2b,2705
Test/Unit/Controller/Adminhtml/Config/EnableAdminUsageTest.php,896cbab4fe6f8339c0db12cdb7da1278620c6439f636693d596f11cf6600c9e0,3992
Ui/DataProvider/AdminUsageNotificationDataProvider.php,60afd6a8412f2e8b17f54a4491ecd1c71a0c0acd434778b4f9caa8da8d7dd4f4,552
ViewModel/Metadata.php,5ae5e2e65b0b4298606cc995b006e60aec968155e55d5fe867e0855da37e2e39,4275
ViewModel/Notification.php,087d61d3b7aa1b171546790f1a30f040445dfba88b2d23107d823baefb03c892,1603
composer.json,59b5105c8a9d45c9d5cfc5457b8c8b8351d1d08c3e70db60d399e8625e6cfe20,683
etc/adminhtml/csp_whitelist.xml,638def04e9eb68b694e9cfee74ea4140433fadc5d5cb4f1043606fda6091740b,1448
etc/adminhtml/routes.xml,f84839743c0c6abb0b178b46d6ed86b731c8ea1e859181f5fe2ed991716ef710,404
etc/adminhtml/system.xml,8cd50451b51b3eb490d46219fa821774228cd808fec7a8488fcb4edc3fed6c7b,895
etc/config.xml,9f9ff87afab1fb200617aeab0693dff29e3fe065a4b3ffa6a6a761e400e54d62,417
etc/csp_whitelist.xml,aed0796cf554e74ad42fac8e15a249bf3dec6e1dd9a1b4331e8b4839ebb01f9f,1975
etc/db_schema.xml,505302e1af43d166c36a29a45d2ef623778a37b7a79f1f23dc3d6c4edecc7848,1005
etc/db_schema_whitelist.json,88e036ba1bf327a1a3bdf2ce87bb84937cff752280761470e4bbc206435ac165,290
etc/module.xml,5fa7e76e7e2d78234a9e8a10354a6f143e390b2cde34672583e2b3533c820fb0,280
i18n/en_US.csv,b02f2e714fc4694a45e01c9fb6a548b7a8ec35863de3828bad15cc48d9dcaabb,1885
registration.php,f0f5f46e16fc9809edb627083e304c4aeeaaf6d8be6e0933421a9a0f1d89304e,209
view/adminhtml/layout/adminhtml_dashboard_index.xml,9112a8b4b3bf54dba261eaa5af77e21fd1f7233d42512305e8a3684ebebdc0d3,921
view/adminhtml/layout/default.xml,46886183039e2c178c88febbdc829449ba9025a37f1b54c32240b5d868c5817e,828
view/adminhtml/requirejs-config.js,b27dbb872c1587b2d4f40bac9964cf1f800cfe1a3e6c38c842a07a4ddbda02ee,294
view/adminhtml/templates/notification.phtml,6787c07761fc7cf63bb656625cbc50a96f152eb4b94c5f2e2ca7cd39e5f17daf,617
view/adminhtml/templates/tracking.phtml,abd8f58600091ea8bccb27bc7589827546541436b0648c560d98ca406c857301,1579
view/adminhtml/ui_component/admin_usage_notification.xml,2407685cdf79c4d9f880d85b755d54e53206b868a3abd1911ed9c949acff3ef9,5488
view/adminhtml/web/js/modal/component.js,4a788e9d533090e89e1d6fd21db13c2a7687bda61a372d3a4e14a737b6e01c89,6000
view/adminhtml/web/js/release-notification/modal/component-mixin.js,1c8cf983d45d4885e4842ecdfbfd62243479c1b52b2bbc957332135b068a1e3b,934
