path,sha256,size
LICENSE_EE.txt,f459a0a68660ccc9b7809f73f7c6deb22e622603754a18e866496b59db020569,30634
Model/ResourceModel/BannerSegmentLink.php,30043cb0f0574b8d1756814f3837762d46a9649966a3d64d312962825fa0c8e5,2486
Observer/AddCustomerSegmentFilterToCollection.php,f1c07763d8e1c8a997e68681dc6fac90589d066ade24d6257fb1bbee84db1350,2014
Observer/AddCustomerSegmentFilterToSelect.php,637bf45c8e652d9123f362ed6456bd90e62109c0d3171e1c00b3816f43c50d62,1941
Observer/AddFieldsToBannerForm.php,69121b1bdb2d25a8fde15256d0e11959bf9bd21ce7b171c72f3cb19a8017b183,1447
Observer/LoadCustomerSegmentRelations.php,b29514727e941d829dba4688fdc39d7d1d224b3da3f3e973a2523446c2e9aecd,1642
Observer/SaveCustomerSegmentRelations.php,3348b7d4072076227856ddd218e3b9c897576907d5f4de83f10aed0a9c5a2e5f,1960
README.md,0670123a5516b6e19bbb159a38027117326f93d22e0a776b483fa181dfafbb66,102
Setup/InstallSchema.php,c21a79e312ab8fdfc60bc4040ab18005875b3bb17874749146a61d4bb0d721db,2260
Test/Unit/Observer/AddCustomerSegmentFilterToCollectionTest.php,bdc9d468f47db38829142ed739ac8b935aef7453b69e4dcf253f1fed010f7a43,4790
Test/Unit/Observer/AddCustomerSegmentFilterToSelectTest.php,e5e498510cd4133ccb7e94bd490816c569cd8e1427be223684a4fe15a47b7711,4200
Test/Unit/Observer/AddFieldsToBannerFormTest.php,2ed7ed7c0629bd835dacb7d8fa3b644ddd1b83f0005b48bb30bdb06233e493d3,3675
Test/Unit/Observer/LoadCustomerSegmentRelationsTest.php,b41c10f5e2ead1c3fc8288b5e1ea777543b6565498ac9bb3389dc2a0273b0316,3018
Test/Unit/Observer/SaveCustomerSegmentRelationsTest.php,432bd36377bd2136e98ad8c8ac0154ede916e79dbfc790e3355cefce4c7a8826,3840
composer.json,bbd22453deb9d7d629b32b7f6a3c5d1b6c8e75afb58457761776b3ee9059880a,557
etc/adminhtml/events.xml,9c8cb2584c74788d1c1d3bf79c4303e15f83243b3a75a113e26f62e41289a738,496
etc/events.xml,7a1c96425fa18d21a8ce52c090078992b982f185f8fe6d604afd7ef7da94cea3,1354
etc/module.xml,2a4b95023f2ea7685343c812ee1f3d29cd0d7e65ef2d541ffe5334bfdabff0c4,511
registration.php,9d2cff733b9de3fa6bfa3b00d710611c84e5b5b8f73cddd509ce1ea76d30fb32,288
