path,sha256,size
LICENSE_EE.txt,0207c73f2e0d37f1291ab8e40f920246fd2b5800ef7ad8faa1328ea4a4f5da3f,30633
README.md,869e8817294a2897b9e781a13fb1be282530f7755416ec3e793d8a4779fcece4,2114
Setup/InstallSchema.php,de6f36ea8e807c33f00c73a7a10459140959b8f246a7dd6a8bb354806beb90a2,1423
Ui/DataProvider/Product/BundleDataProvider.php,0bbcdaa6bd191b07dd59d35f929a188c33656f5fd2907359f449dbb7f2e36fc2,2689
Ui/DataProvider/Product/Form/Modifier/BundlePanel.php,af11807a80c448daae94114cf4ea9c4fdd9ca342b81e3caa261afbe1636a0334,5055
Ui/DataProvider/Product/Form/Modifier/Composite.php,cb9f66afcbe32ab8ea1ae27451c33e1d63a1bcccac0ca9ac00f09b6c2824b2d6,369
composer.json,e13cae7c61e814b250286d4ec7abff49c46fa9dc6c4a749d0a3e61df0dc2cff5,712
etc/adminhtml/di.xml,51b616c59d1cec7cc9b7960af86189bdef32d8874cf115c7392274b9a5dba415,2033
etc/module.xml,d054e6b28a7ac030a4a0b1de32f84874ebd32d522c55c08eb2e2271ef646b539,665
registration.php,b0f1d02a551bd8d34bf58f40ac957fb6b87b2492e12bbf051854e9d79bc5cf17,270
view/adminhtml/ui_component/bundle_update_product_listing.xml,30a7b7ef74975348d88818d1bebe378bb2cdc33b67434e325f4f621e42a2071b,9179
