path,sha256,size
LICENSE.txt,4c8537fd5431aafcb0ab22c49cba68febb59dd3595210f6c6c3b9212de0a7b49,10364
LICENSE_AFL.txt,26c1e3310769e3c187267cb04ae51a22694964556f9a3002f222a0fa67f47cfd,10374
Model/Rule.php,d3f46c1ec57e30693d0dbaccd805804cf02f8f138c60fdf989dd2bc2aada1fda,5586
README.md,09e1904e9bf45293e69a9a235efa3e1b4de996c3ef268a1ad7a35e034ad1aa70,83
Setup/InstallData.php,f684c2e0828f30217e589e6e42a64a075dd8b7b070fc295b0b17815a36d23ca5,788
Setup/Installer.php,0b63af745b835816069cdab8705ed875e1ded884b8540d5c0e7f962e843467ce,735
composer.json,5f4579d8e61f8d4d7120838ae44e3ce0b038787a432af3ece5ccd08fbce13536,528
etc/module.xml,690e3ab69f611b40b29bc7703994c81248b996bff90afed8c94abc1e0e597f22,583
fixtures/catalog_rules.csv,b9d32222d63bd692bfb5c67a43c37ac5e3151884f7c39ede206b16bc90b3b2fc,807
registration.php,81625b13ba6ed6227134746ef262641d5a5aac78ca382282cb70191364d4332c,270
