path,sha256,size
LICENSE_EE.txt,f459a0a68660ccc9b7809f73f7c6deb22e622603754a18e866496b59db020569,30634
Plugin/NegotiableQuoteTemplate/Model/Template/ParamValidatorPlugin.php,92f2cec855572818e757b2e38d6da2980e47baf96f8f9d41d2aa19d180e0fe85,2679
Plugin/NegotiableQuoteTemplate/Model/Template/Restriction/ManagerPlugin.php,a19df0d4cb7368f45811ffa05618caeff9a5130596eee0223bedd53fdf609413,2351
Plugin/NegotiableQuoteTemplate/Ui/DataProvider/GetStoreFrontTemplateCollectionPlugin.php,b52146c26ecd14858d419ab40f89d94e980143da1b369d14d1d791b85a87e5b2,1982
README.md,8aa40c78437567f6e9162b9b1f4308df22e0aa642aa7013353fc061d0db0fdaf,265
Test/Integration/Plugin/NegotiableQuoteTemplate/Model/Template/ParamValidatorPluginTest.php,bfde3849a5ee42c0ac97913a3ecdb7fc1ded22bc81967e4be56c8668809de351,9077
Test/Integration/Plugin/NegotiableQuoteTemplate/Ui/DataProvider/GetStoreFrontTemplateCollectionPluginTest.php,509fa094adc75aa466f83c0e25a91a14e2e687d9701efd13b4a6748b37386875,9534
composer.json,3b4f03370cc8fe05a17f7ae8cfa1c8b010c9679710e38d71f84cd9c4b070a7e6,727
etc/di.xml,94376f1ab07942b1590c453ebb4dd19b2b20fd9d537191577f314afaab724f9d,1809
etc/module.xml,2c89b24867cd609251f1354c418897d3ce7e78a80edbf05b4fc095f82f06f838,1192
registration.php,d2a7f63c51c338aac64f8e84c5b0b79d954e43d7645ef63ff93d0e52ea12e007,760
