path,sha256,size
LICENSE.txt,4c8537fd5431aafcb0ab22c49cba68febb59dd3595210f6c6c3b9212de0a7b49,10364
LICENSE_AFL.txt,26c1e3310769e3c187267cb04ae51a22694964556f9a3002f222a0fa67f47cfd,10374
Model/Product.php,d83eac86165a119a08dd7504b523faa216e06e398355451565d64740a1b590b6,3289
Model/Product/Converter.php,9dd792be81e870075ca734a91fcd8a4c1756f458da0cd1c1ecd54eafecf6c86f,7795
README.md,e8fec7e4b45c69c2be0623387da7065cc54955aac650dab15ab9a41cfbe75f8e,84
Setup/Installer.php,fd9270ebb2057f6fd001d71365072d2eacc72292e93687603e65e5f92f55e39f,2085
Setup/Patch/Data/InstallConfigurableSampleData.php,734fd802853057950cce173347b28dfcdd5d85370c7533284adf65af1a568e4c,1571
Setup/RecurringData.php,1bd52c25cf1bb5edcad3534a1a690f5ff6e2db992059e52b79eb7fd9fa13ede1,1512
composer.json,0cd1ee61b8afcba066bba73b09d2c4dff10de78e9caa19aa8c3caacdd8a17858,595
etc/module.xml,1509cb4aa4f38abd8aa8d04b36631b924a01f947c973028f7b72eea2591bb723,720
fixtures/Links/crosssell.csv,b24ccaa141fe04b9559153685c9b83f66931b2af4b1c10326293ace9b8b29261,7093
fixtures/Links/related.csv,e8f3b3518b7c154bc6c23940be4d6c48393062ecec94b48322f290e601a0cb4c,2938
fixtures/Links/upsell.csv,6998d27e6a2d13dfaa3e20254a813a017ecb37a500c97e3e8f161588b17fe572,1632
fixtures/attributes.csv,94347489b91b7edfd2799a52012673efaacd175310ab883b55f3ea497a117945,1918
fixtures/categories.csv,55d8cb977988ebf3af24465c57ccf343dcd54e3356d13141374126e8edf8f10e,1391
fixtures/products.csv,4cdee0a21f6c124e93dc273f97a8d4875e99d933300a538fb6ca2dd54a2ae45b,1769631
registration.php,6e993736aba05d9d09fcfd02a234d41bcac2cb7ef1f2b3b63c92adf6628682df,261
