path,sha256,size
LICENSE_EE.txt,f459a0a68660ccc9b7809f73f7c6deb22e622603754a18e866496b59db020569,30634
Model/RequisitionList/Item/DataProvider/GiftCardOptionType.php,a5112346a8b188d9b0b4906c8ea5a4e363f51f51e16d9eb98bb27d41d4a266c8,1791
Model/Resolver/RequisitionList/Item/GiftCard.php,bc9d807c1e519526f71e242ad9332bef9aabfcb344b7bdd15b41e246e763cf33,1372
Plugin/AddGiftCardItemsToRequisitionList.php,473121fab6c673a94d1e7ccbecd53491b04443f69c07288245ede878c02c605a,2560
README.md,b9b9ae14870bbec506b9662cad09866d977cddc650afb70f94abcfdccd543116,202
composer.json,805e240c3a4d76840c6394c46140b7d0eed2913e08548f4fe7888f9c225f13b2,736
etc/di.xml,758d06ebff6a60620c5cdd8c57d445cc4fc00f7a984b9e0bea0a62853fa8761f,902
etc/module.xml,8db8e0e3aca35d8fdd43b889c7fbb764203fbab208e9d7da9b0951a79eaae4e0,512
etc/schema.graphqls,55d00895c22c2e86df606fd380b7764879175e77098e5e7de1eed76e9b443cdc,1140
registration.php,32ade1977a5bda92aa0563504508ab64b9eb6d7fa6667b321114d3bc0e16635a,307
