path,sha256,size
LICENSE_EE.txt,f459a0a68660ccc9b7809f73f7c6deb22e622603754a18e866496b59db020569,30634
README.md,3f42ecdd0afb6a1eec278c1c51ad7efe9138c7dd564c1003c5c56616c24e0b25,905
Test/Mftf/LICENSE_EE.txt,f459a0a68660ccc9b7809f73f7c6deb22e622603754a18e866496b59db020569,30634
Test/Mftf/README.md,cdfe62b678a8b62b31b583c37a6919ff7eaf5877e98d1e37b6137722bf81c942,121
Test/Mftf/Test/AdminEnableGtmAndEditCategoryUpdateTest.xml,892acad46b400dfa44fba9261228f62be82065b8f00e932247c5c1c50740ee49,4410
Test/Mftf/test-dependency-allowlist,614e64898dca3b0b37abc6d5b3c0fe07a098dd1c93807e8b0e623adb5d6f78ce,479
Test/Mftf/test-dependency-errors-detailed,59471a53e56a8867a15499c7c000f1281f2c3a8b6a06e700ef5637024bd42489,1374
composer.json,3739e990ef3f4b83fc139299aee86d11bb4c75444a2d982deb1b6b1db37d0877,712
etc/adminhtml/di.xml,9e4f344ad1bf95b0eace75d1a32c2520f841385709b6f8afa1da875810c2c128,1022
etc/module.xml,407d138e99490640e5d00e072fae41d2d147b51329c6aa8d75e9fbf68e9b484a,482
registration.php,dfcc95dad443551dc38e174ab19da75c523c54d9d922dacd3509518f7a447444,261
