path,sha256,size
LICENSE_EE.txt,64f2e5ab30dfb69c4c788464e1838a823a3161df97d1b56d1a2b092f7da2a495,3546
Model/GroupedProductAvailabilityProcessor.php,b7c4071a3ca0e2fb90b1a4a2ca5a0aca4bb4b419a3e3d71416920402d8775c12,1572
Model/Product/Operation/Update/FlushAssociatedProductCache.php,a26acb4d4c2625ea9d8f07e2353ad2686493b89219ee7ea2823b4e7ea6021e48,2023
README.md,8f8cd05cefcf2b02956fa4cd99edaba50e45d4825c01dbbe5d4af65229116378,894
Test/Mftf/LICENSE_EE.txt,64f2e5ab30dfb69c4c788464e1838a823a3161df97d1b56d1a2b092f7da2a495,3546
Test/Mftf/README.md,21241eec2e0d2c010cbb0db58cef4ba175694ecd475dd6e0cf3c11b65c55ddfc,119
Test/Mftf/Test/AdminGroupedProductUpdateTest/AdminCreatePermanentUpdateForGroupedProductTest.xml,396a19c77dae6daf1a2554c7ff8d1be696a15d26c5c30873a06eb72119e6a610,6009
Test/Mftf/Test/AdminGroupedProductUpdateTest/AdminGroupedProductUpdateTestEndDateTest.xml,e0051bc97d3dbc769210c149a47128499bb951839ec4bc844ff3cb9a9cf1abbc,5913
Test/Mftf/Test/AdminGroupedProductUpdateTest/AdminGroupedProductUpdateTestNoEndDateTest.xml,55f2d528f4b20523dfa774dd8e7d11bbe39893c295127a20821be061ecf5fb00,1694
Test/Mftf/Test/AdminMoveToAnotherScheduledUpdateForGroupedProductWithUpdateTest.xml,d729069211949ba9f0348cab0c470086692b94b22c5c1ed3a5a3e345dec47d1c,5516
Test/Mftf/Test/AdminRemoveTheExistingUpdateSaveAsNewUpdateForGroupedProductTest.xml,a17ab0d7d1141674d1e0c4d1c280e4a3a5458de33645299d3618784095883835,4415
Test/Mftf/Test/GroupedProductLinksWithScheduleUpdateTest.xml,032c3a7dfcdaa58dfbd1f5386caa7ad1c654b8c18414669c09c425916d8a82b0,6059
Test/Mftf/Test/NewProductsListWidgetGroupedProductTest.xml,ac526683fb32aed98fe7bb5eae63bfb01020657a23a6966ce73f7e482d58f698,1320
Test/Unit/Model/Product/Operation/Update/FlushAssociatedProductCacheTest.php,a1355f7215c9fb1bd1ca39bb148971e23adccc504aea054946372f8bd9019eac,2562
composer.json,c0f6dac7b8ca79e3cf998bd6c0b1a02f53ada2af915c4e8eb6e22141ce91e128,860
etc/adminhtml/di.xml,194bb38851353b2859396c0158fdd1183c61aefac2493648a1c8b98b35b7b400,2233
etc/di.xml,d44a40001c00ae30a8c665c35a7ab4f5b40563fd8e23ddf83c4d6b3c1549ecec,1160
etc/module.xml,73c3803c5d3ba271f25b36330d99e8867d92dcfc6ab9f2fa0628c13ad38a6ee8,999
i18n/en_US.csv,63a2aebabea24b222921ea3172f861311872108c3253744ae3be71468b945d33,206
registration.php,4da957da4f29aa21dcf1741f6061a0ed0891735783ee6f33ea396b765fd29faf,727
view/adminhtml/ui_component/staging_grouped_product_listing.xml,84c76216cf0319e676b340d1fc810f5e13d44e9cf79995ad5354a13652e9e71a,8189
