path,sha256,size
LICENSE.txt,4c8537fd5431aafcb0ab22c49cba68febb59dd3595210f6c6c3b9212de0a7b49,10364
LICENSE_AFL.txt,49d9aa4c0615ff95305681c358fa1575f54ed3a512b016f61c71d6784860dd8d,10376
Plugin/Model/AreProductsSalablePlugin.php,bd621a47a40cb98ca827abc8a30c9e9f02271ba2b907d1a9d2314701916a6267,3645
README.md,778930e7f57aaf2ef0eac2f8ef34dc1d3bcbec6bf0acad2aa2632562d2759ab0,236
Test/Mftf/Test/AddBundleDynamicFromCustomStockBySkuFromCustomerAccountTest.xml,c79ee3255cd0743cde0b190fcf7ce6377717ef9c903e7a493b20870d6f9087c7,3638
Test/Mftf/Test/AddConfigurableFromCustomStockBySkuFromCustomerAccountTest.xml,8977c1d68299fde333998fe11d5ac9328192886b4184fddd6fdaf4cc31fcdbce,4272
Test/Mftf/Test/AddSimpleFromCustomStockBySkuFromCustomerAccountTest.xml,14262dccbde37a176f1164e36948f9f1eabf134a7f1f267cc45d07d1d2bbae55,3584
Test/Mftf/Test/AddSimpleOutOfStockFromCustomStockBySkuFromCustomerAccountTest.xml,d9360f6a8805f3f5a2a39dca9a4cd3e913bf1639841858c18db223987a73a5f1,4110
Test/Mftf/Test/CreateOrderWithConfigurableProductCustomStockCustomWebsiteBySkuFromCustomerAccountTest.xml,cade6bf7f7b615bd9d0cd061890ed838352e21638cdc15eeb43d53cd1431aadc,10458
Test/Mftf/test-dependency-allowlist,72e2d337e95fbab9f915f3c449d4453ac07c1c3aaa6fdd2874a4e8b1b121259a,369
Test/Mftf/test-dependency-errors-detailed,51fe24da178c98f2186f207fc219ccb431eddfe4b2709d76809c1909f72c2af1,3623
composer.json,17e0df58ef90b94207b8e865f99930640bc9f8543d6c86df2ccffb0d2030f6d8,619
etc/di.xml,0f47c9779d982a0ca979bdf917fd428d54f974a3b251388d24137d83715a1d65,482
etc/module.xml,63692f49b526b41be849e34ef9096e33eddf9bf6a74b8b7dd602a6d302a9c070,397
registration.php,b24190a514a26a3399554b072afa941d90f40183e6cf49f6681440de176cd7ae,264
