path,sha256,size
LICENSE.txt,16f1806a41699d2544d8c3f01fd7396e3a3e47c93e4f8dbf6bd1d215babca7b0,10364
LICENSE_AFL.txt,49d9aa4c0615ff95305681c358fa1575f54ed3a512b016f61c71d6784860dd8d,10376
Model/CatalogSearch/Indexer/ConfigurableChildStockStatusModifier.php,ab766c5b5e93bd88590e30f94145066323eae1d9cb14e157f12ef8f7d55f5195,4464
README.md,c0cc27ac95cbebb1f9376bae50c71a3b2dc88599fddf0171f859c97a65340cdb,132
Test/Mftf/Test/StorefrontConfigurableProductNotVisibleAfterDisablingChildProductsTest.xml,ea40e2cc038e7a0139d68381cc2405b36693b5c0ed3b541628c70b687f6dfa1d,10325
Test/Mftf/test-dependency-allowlist,03b6e8a55530559e7f7ce4bcc43f55a762dabc9de5c640f13ea794e3cad04c3f,248
Test/Mftf/test-dependency-errors-detailed,1021ccd929b1ec1a5ecff0460c241e39a629777c2af75cae7f1aa43ee3fef3b9,902
composer.json,075e94967721b4e14d900977314b1f5ddacc89cf52eb35e8c51f9d539c58b4a4,657
etc/di.xml,561775f8d2bd12659347e77fda193ce8382b50f20a4c040f374733a3995f28c8,710
etc/module.xml,5a629b89d19fecc39fd7842f62b7cc1e502f8b9baaf91f328788af3e173b1eb2,350
registration.php,a59bce47376dcb136d57efeccc55655ea1cdc1cdc8db1ca08fbebc8922b298e9,323
