path,sha256,size
LICENSE.txt,4c8537fd5431aafcb0ab22c49cba68febb59dd3595210f6c6c3b9212de0a7b49,10364
LICENSE_AFL.txt,49d9aa4c0615ff95305681c358fa1575f54ed3a512b016f61c71d6784860dd8d,10376
Model/FullTextIndexUpdateProcessor.php,b3c246727175efb0265b8924138f03302fb34fc9264afdd81dcfa4a6af87a9ae,2186
Model/Indexer/FilterProductByStock.php,f2300577d5e4d5d24314a9155b292954b8992bb4139fd683b4e2ef447d12d265,2184
Model/Indexer/SelectModifierInterface.php,c68130776e17a0c4c3bb61707ad101c9a01b501168bfbf7a41de8b5e2fb6ba14,538
Model/UpdateFulltextIndexOnProductSalabilityChange.php,24a4000974ed41b9c3bd2d5893864de9afe46b17411c5a95ceb1aa73cfd44537,1942
Plugin/CatalogSearch/Model/Indexer/ChildProductFilterByInventoryStockPlugin.php,f73bc144c41957d5acefc0aadd500e6339a1705fd9fbd91d6434977e7caff7ea,1877
README.md,cede9a9f959ced8b3a231983a0717679a0422d8ce3378575a43b4796d72ae0a3,606
Test/Integration/Model/Indexer/FulltextTest.php,b3292e997561862aad0676cd1e540dec3824274b041c49bfc816c34eb93d44da,16322
Test/Mftf/Section/CatalogSearchResultSection.xml,cf9239912541c32874446a7892330b79fb497e7456910b77653328a25834f1c3,461
Test/Unit/Model/FullTextIndexUpdateProcessorTest.php,96e6d75b39258b6947dcde0142a9d204f74592a6a85b6caa4bdf5b648ccafd52,2614
Test/_files/clean_catalog_product_index_eav_table.php,ea5c73d465ab0a4bfc8ffb4fd91a33a1521e27d41a57396179bac8452f4b0ff9,494
Test/_files/clean_cataloginventory_stock_status_table.php,db0cd6a12b6976968e7b13d06d766f10e78fa5d1a2aa29426b425efadb5912b6,498
composer.json,6f29dc2fdaff87b305e8a807510abbf07fd5bc19755e879466240fbfb3b5fa04,622
etc/di.xml,22f5473985b099ea18b4cd81ac004fea0086743f00b3747146c993e5c86a37fa,1556
etc/module.xml,5d1a2b6448e8a49b9be81e19981db3645f6360509b976794e837a11bd1b26911,489
registration.php,01e31dc86eecc6af1e11071068a56a8c774d44f4d2447c5d81a214f3945fcf6e,304
