path,sha256,size
LICENSE.txt,4c8537fd5431aafcb0ab22c49cba68febb59dd3595210f6c6c3b9212de0a7b49,10364
LICENSE_AFL.txt,49d9aa4c0615ff95305681c358fa1575f54ed3a512b016f61c71d6784860dd8d,10376
Model/AppendReservationsInterface.php,55b1b229d6704bf6f561783311b5c84fac4c6482db96f73f0ee8548fc87a62af,896
Model/CleanupReservationsInterface.php,446c780d5efcbee091f7a5a29a935c9e95de721b574ca4f8b6fcd45ef45913d7,553
Model/GetReservationsQuantityInterface.php,70f631224a3bb6027e6f2a3d76abfbce59c721fcc7e86fb17d8e8f8d92a00e78,551
Model/ReservationBuilderInterface.php,9b7dbda77307ac590c1a5f563417203f162485c12cfacacdba41c9b3542cc1af,1062
Model/ReservationInterface.php,f817ecd90f8e4b4c3f1bd30f7416aec6555ae74afcdee66b08a5220648923d6d,1847
README.md,8fb5b2a358fe110bd6e552500e939758effcfe659d6f6858dc10e9268116e23d,728
composer.json,3593ab5a51a6ea24a29178846eb8a6f8eda11cac0ea5416bedd76110fcd89185,404
etc/module.xml,02f781b6707ec4864fa19d914fba6acb454b92f16f5775eab39f208bf0710229,334
registration.php,fc805b0e0df3216e621301ae396d32a847484fdf75c4b0b7f7865377c75dd771,306
