path,sha256,size
LICENSE.txt,4c8537fd5431aafcb0ab22c49cba68febb59dd3595210f6c6c3b9212de0a7b49,10364
LICENSE_AFL.txt,49d9aa4c0615ff95305681c358fa1575f54ed3a512b016f61c71d6784860dd8d,10376
Model/GetIsManageStockForProduct.php,1b75c61d65c823952f6ebe444286e33f8a614572829e1c9719c2b8dce84a4335,3705
Model/GetSalableQuantityDataBySku.php,ac971588eb122d7d1d53e7ca563c4b975dd978579821797d8962452d881e4cce,3748
Model/GetStockSourceLinksBySourceCode.php,ccefce83cfd902583838e6d6c4948fec3900ef388821630f9c13b447c9b756cb,1550
Model/OptionSource/WebsiteSource.php,1354159e2fed1ca64b430ba435ecc6ae72cce2e98bb87c2327eea9ac4e55d7b5,1158
Model/ResourceModel/GetAssignedStockIdsBySku.php,2d126f3858432ae3fef8a1cbb2f21bfa51bf802769885229a10bb2b62a62cc0a,1763
Model/ResourceModel/GetStockIdsBySourceCodes.php,34783ec0aa96ba2e8d05b81dd411229de0cd1877d72cff988687adf0ab810471,1339
Model/ResourceModel/GetStockNamesByIds.php,430885c192b0664149cc1796e6bb67eed33a5c60aff62faff261226ce865e52e,1357
Model/SalesChannelNameResolverInterface.php,5c7e644920a9a434ab58d1b16e1ca0dd58b75bc61abc639ce31637981038f722,465
Model/WebsiteNameResolver.php,3603b1c106d86098ba4c5d4f8c9610ca7b7f78a10562545291df7412b90683d4,957
Plugin/InventoryAdminUi/Ui/StockDataProvider/SalesChannels.php,2e075faec1f2ee2500dc2d7b9dcf82cdbf438fea5f7f4aa42e8ac604591c7df8,2857
Plugin/InventoryApi/StockRepository/AddNoticeForUnassignedSalesChannels.php,4c43cb9a4ad13c39ed49a315bdb1d2b7dca497d4047a027556009d6a487d690d,3264
Plugin/InventorySalesApi/Api/AdjustProductQtyInStockForEditOrder.php,9afbfb41441affc51f28646f23d2ae8fde2855c3bdf62328a142a1faf703dd04,1840
Plugin/Sales/Block/Items/Renderer/DefaultRenderer/ChildManageStockIsOn.php,d21f8ca220eeba72278e42af1731bd7079d3b2cbaa9ffd70c52e718d95e75d5b,2006
README.md,7759b65ff9f719c83275878b2289cd29efe9957eacd1f2ce4af890c99ecdf7a3,868
Test/Integration/Model/GetIsManageStockForProductTest.php,184cce8a57c0c0d1924d57b8ee8416fdf9c6a75bc8edff6e477df125d3e316b7,5173
Test/Integration/Model/GetSalableQuantityDataBySkuTest.php,28910dc3ecac8d9e2aaa382183390c789e97619b12ea8e3a52e63e234fa70432,7898
Test/Integration/Model/ResourceModel/GetAssignedStockIdsBySkuTest.php,7c00f6179d184b0707d477771693d573e4dbe0f818e54d49c06ea4cb72ce70c9,1318
Test/Integration/Model/ResourceModel/GetStockIdsBySourceCodesTest.php,71cacca992cfb92af24b80b1e35c5db61799983c0ce693d3d43558c37c6792e1,1191
Test/Integration/Model/ResourceModel/GetStockNamesByIdsTest.php,13f9b40b989d9b9d8e0866de4f0119828c120fe7ae5ce080e2e731ebc701e232,1047
Test/Integration/Plugin/Sales/Block/Items/Renderer/DefaultRenderer/ChildManageStockIsOnTest.php,611a73968070a0920e4550f1195719082043f9ed18b78885ffbbd739ce241426,2168
Test/Mftf/ActionGroup/AddDownloadableProductToOrderActionGroup.xml,17a3e30c6ed1d435aa29d83c71f171b2b95ef9772d4ab3b8500bee6831dc94a7,1892
Test/Mftf/ActionGroup/AdminSelectSourceAlgorithmByPriorityActionGroup.xml,01b7810d1d92f7bc19f499543211e735fa4ee368419638cc813ce789092f62a5,933
Test/Mftf/LICENSE.txt,4c8537fd5431aafcb0ab22c49cba68febb59dd3595210f6c6c3b9212de0a7b49,10364
Test/Mftf/LICENSE_AFL.txt,49d9aa4c0615ff95305681c358fa1575f54ed3a512b016f61c71d6784860dd8d,10376
Test/Mftf/README.md,351e3c9d39437e5baa1a6bca2e20ace2d38c3aaf50866e16cc138b732994cbe1,121
Test/Mftf/Section/AdminOrderCustomersGridSection.xml,df649e8ff73ae5a21ec7d5913eb230e78c62a8c2de1b9762d5970de3d16356de,799
Test/Mftf/Section/AdminOrderFormDownloadableProductSection.xml,e409d7f545257d9e10d15ddb328ad7274fc297fa88ea265f3ecb73d4cefd403c,780
Test/Mftf/Test/AdminAddSelectedProductToOrderTest.xml,e88a6abddea8909579ccd026b4b21d889eb3ea6f8f621d1491e294c4c22fa06a,649
Test/Mftf/Test/AdminEditOrderWithOutOfStockConfigurableProductTest.xml,5ffa3d23e948194d70fda9fdc6902352f26305b7a8c7e20e393698434f534118,8777
Test/Mftf/Test/AdminEditOrderWithOutOfStockProductTest.xml,9387442981b5422016283a83d2ba8524e7137465e752f6c3574899c3e4537770,4665
Test/Mftf/Test/SourcesColumnTnTheSalesOrderGridInMagentoAdminPanelTest.xml,2da8cdbcfd4f332d4a0f47cb2238136a416a565e34ade485c988cffcc7cec801,11788
Test/Mftf/composer.json,c9a041ad8d124540931759211412a6a5789348f69b1a6501fff8350387ba95ce,1495
Test/Mftf/test-dependency-allowlist,e8a679fd7e1277e2f93b1bb1fef9636ad2d01c898cbef30dd1eca0ee13db81b0,53
Test/Mftf/test-dependency-errors-detailed,1b2a5d6d7d4457bd333a08e9d93af381bf63c4f975ac13eccf35907ef26c4ea8,306
Test/Unit/Model/GetSalableQuantityDataBySkuTest.php,bb9968d9df36f4e143e13831251510f53804e60c4851dd0b9d243d30d633a204,5886
Test/Unit/Ui/Component/Listing/Column/SalableQuantityTest.php,c4ea79fe0b07abd7a63ee581b191a0e01885cc2d59b31a3aa7bfb4e52023af8c,5382
Test/_files/order_with_configurable_product_and_manage_stock_off.php,3737d76d3481f57aa76f5238fc09ac04d72b3a3f7df8bcb9050ae88b2325f44e,927
