path,sha256,size
LICENSE.txt,4c8537fd5431aafcb0ab22c49cba68febb59dd3595210f6c6c3b9212de0a7b49,10364
LICENSE_AFL.txt,49d9aa4c0615ff95305681c358fa1575f54ed3a512b016f61c71d6784860dd8d,10376
Model/GetSourceItemBySourceCodeAndSku.php,e6655128b09b8e59c61e284f3f88d0ebee44b3650f9a56b62389f44ba48a8aa6,2042
Model/IsItemCouldBeDeductedByTypes.php,c3fdd9b6608600f1e8405501bb08474856a316595cc8cb857a92cfa2c71b3b49,1422
Model/ItemToDeduct.php,dd7226fabc95fa74548475aff1dd114f9bcdba7ee1f44d42c9393541f3c9638d,784
Model/ItemToDeductInterface.php,ac24bb07752f8d6eb9b521185a3cc58e188e9b3a5235cbbd679ed5e097b15958,516
Model/SourceDeductionRequest.php,cebfc7842b708eb80c569276ca511186f592b76b266989127c92b4635635510b,1730
Model/SourceDeductionRequestInterface.php,f857cb8e683990dad5e4bf8f255495b7990bbf73db965654859f07379c737bd7,836
Model/SourceDeductionService.php,064313ffcf115a8521290a2014a8e04281c983a66157474d5c972d3a60d3a803,4366
Model/SourceDeductionServiceInterface.php,257606be1fd4f651e091d9077cc10bf22756d6041e290f9f2fc8f6f9452927d2,476
README.md,ea2e801ac8411767a1da2b90cf00d2663782be5a1e105ac55eb0b4a83aa96e2c,502
composer.json,f6d03f29558e4a62fb06d8eeacd3df193ca890f2c9dc71aea01251438c0f7787,558
etc/di.xml,fdb420b3f3ab0921fc012bc12910a0700e4dd32c245c8f2634531ea4a2030f9a,776
etc/module.xml,a9f16d91ffa3d3ffc7ffa1f00492af32fcb9360c12e2b9cee95d995b8b29deb3,337
i18n/en_US.csv,7a96410496be1540873ff32cc6165cb255dbb0ee70c2f39638d4d162c7a85272,248
registration.php,6175dfc5331904a98f0a8eed1ec3e60c7989e2ab43be0d3f5786fd9e2ceab5d6,309
