path,sha256,size
LICENSE.txt,16f1806a41699d2544d8c3f01fd7396e3a3e47c93e4f8dbf6bd1d215babca7b0,10364
LICENSE_AFL.txt,49d9aa4c0615ff95305681c358fa1575f54ed3a512b016f61c71d6784860dd8d,10376
Plugin/Model/Resolver/QuantityAndStockPlugin.php,20aa678e1cb2903fe8ae46e7c3386dee4113157fb2ed31f4a22a9ef2b1dc45fd,9365
Plugin/Model/Sorting/OutStockBottomSortingPlugin.php,e83044af09600cdd3368cf4b0fcb284ca38dd78688d22f2b5deb46f622379c4b,3326
README.md,76dbc032b0c7578c293f20ef5494381d1dd09afd48bd62f798e1bdd799ded1a6,113
Test/Integration/Model/Category/ProductsTest.php,c9457c731f0436b36f0f910d670ca2872cf33b54185aa7dcf3caecb525eee65e,6541
Test/Unit/Plugin/Model/QuantityAndStockPluginTest.php,1dad6476b0187a054dd5416de6654f9c3ba5478b528377e95c8c575db6a9eb10,6646
Test/_files/product_with_category.php,a90af9e7feb6ef8535f2cde830b3606200bc41fce3e1606bdff09ab6c783e858,2984
Test/_files/product_with_category_rollback.php,a3cdb9db1bccd7035e37b429f7bf90e83e42572256aa2073b2ee08fea9a3f78d,1137
Test/_files/source_items_products.php,cc4d3515413d25bb958e6f841886a81472775a7d578126e09f10598ecb8e4761,1867
Test/_files/source_items_products_rollback.php,03023975d1980f361c6d4c5557fd08250686a538949564873dd33a97d2b1e053,1570
composer.json,546cef251f675c8c5c71d2992d3cf1b0351dfc5d8c64b30c1ddca2d408931288,875
etc/di.xml,bcb24a154f32413283cad04c9d9e42d177fd6937935ea1bfa099fc03e6fc613b,789
etc/module.xml,2a835b617d22ac887ec693ceae2cac0f8bb19ec063d81582d314e579813a0504,294
registration.php,5deeceed4065f54cb443755cce01fdd252e823464afbd8e13e0ad8ef00ae9abf,248
