path,sha256,size
Block/Frontend/Category/SaaSContext.php,845d2f082a48352f2e62295258ffa8f9bd7f16bcbe25f344df4a51c069f51ad7,3499
Block/Frontend/SaaSContext.php,a3754f556ae40c5e18f99cf9859f01b0ddd99a264d9862242d43a4daecca003c,1716
Block/Frontend/Search/SaaSContext.php,be42e6c5c093e90eaf8831f6c832de505e45469858b70b57017525b2d9c87d16,900
LICENSE_EE.txt,0207c73f2e0d37f1291ab8e40f920246fd2b5800ef7ad8faa1328ea4a4f5da3f,30633
Model/Config.php,3c672c82e801b390cfcc47b665f94d74031c3d75509e1b2fe647b225a2605d82,1994
Model/LayoutElementsRemover.php,855c911de53cbefdd409ccaf718153109f34e0eea2b05ee58c7cbe9f67df39db,2257
Plugin/BlockReader.php,985e332b135004d559bce8a87ab79319f659cbbf0540f71577936b72bb48cae9,1720
Plugin/ContainerReader.php,115a4659d5faabc1dadefd0d1180f1059d032ae8603ecf1e0710c95ca141d1e7,1769
Plugin/SearchResultsPlugin.php,8f4f1e78c5ab78e9a9a9ac36ee8131edc0c06e3fd52e54dfc6be5a5ca9ee1a70,2789
README.md,83fd346a54cdce9175dd5631f4974f32210f1824606ca027b2ed1e438da76054,59
composer.json,60ec9b1a8191608b9c89584e9ecc4c8a0a05594ba5081cdabef8256be4e84444,916
etc/adminhtml/system.xml,193c406a0c5dff1d20fd6a7ebac869963a3e4d9ec433e26b524ddd2985bddb3d,799
etc/config.xml,b56485ed617166ed6ffdb4c10596103603a90ffe47d233f0ffec73c2c4753148,489
etc/csp_whitelist.xml,9b3687aa1d161c12abbfd8a24f3f5688cad0eb995493856b413ab50c51f03723,6435
etc/di.xml,629a1ed50c4acfd9bffaeb85c55f4a0752e6a8c63b0f70e38770bfbc65b4a881,2452
etc/module.xml,f31a4fce76f1f55cc81fb20612c23bff9a5e9c11cbc3ae2d163a0bf62a679292,480
registration.php,3e0600c6bbf0ab0ee6ed457b4713aa8c7ca4f062439dce45ea17b4b79d51c33e,302
view/frontend/layout/catalog_category_view.xml,8c8acb7163ac5e8ff5bd1e4f25d13a1f05217d5d9433aa6ac195700b10729553,1133
view/frontend/layout/catalogsearch_result_index.xml,80786628243c732cd9c511c0eb9df8e403af89c9c958feab15fb17abb7a40f64,1076
view/frontend/templates/category_product_listing.phtml,bbb27d4a79192795b3c01f122d7dbf4658c09e17c3765ce2fbea87f4cb11a0c4,3240
view/frontend/templates/product_listing.phtml,a4872f4c81a9c213e0297dc0328cdbd2481278be56e3541478c08323a3294ba5,2854
