path,sha256,size
LICENSE.txt,4c8537fd5431aafcb0ab22c49cba68febb59dd3595210f6c6c3b9212de0a7b49,10364
LICENSE_AFL.txt,49d9aa4c0615ff95305681c358fa1575f54ed3a512b016f61c71d6784860dd8d,10376
Model/Synchronizer/Category.php,6453eeb50aa15df388576ec013691fbe23adb37174819b0ad15d29b698035b4f,3397
Model/Synchronizer/Product.php,c574eac8817c1fd3d66b62aa601999f97ff9f2707e5d03c3be36d127fd3cbd4b,3367
Model/Synchronizer/SynchronizeIdentities.php,85eecb85ca29af1e498c9a27308e29d163e4130cb52ed8cba7b66d328ab3430c,1792
README.md,41adfca2ad6bdb259e88ce3a9bb53d5a18b0d4b0ed9cfb0644175ddc09a46e26,812
Test/Integration/Model/Synchronizer/CategoryTest.php,9bc0eb565050ab5d388ba1ce77aa65e3c1628fb667c5b881eaa0ccecab301612,2763
Test/Integration/Model/Synchronizer/ProductTest.php,9c875a6755104c1f1bd89da6ae0060eab755ca74f8112a4d89de28d5cfc97a92,2751
Test/Integration/Model/Synchronizer/SynchronizeIdentitiesTest.php,af22a1081f4e800fa4cfa9ba1a6623018a75176df020e249cac93a9506082121,4170
composer.json,a15cc26c16c6e72182fbee1d17ec09c6fdd569b943ad6a0bb241548a4b189a71,721
etc/di.xml,b474b5bce15566c318a347008b8045e4eb348f9ccf5d8ca9a80cea19dd6ee78f,2444
etc/module.xml,f799271b0e9dd0bee15bb705bed97e55afea1757d3612e9119412839c253aae8,344
registration.php,893289d114ce8d6998146de0640edc7917d75e403cddbae2f1cb479c38986c73,311
