path,sha256,size
LICENSE.txt,4c8537fd5431aafcb0ab22c49cba68febb59dd3595210f6c6c3b9212de0a7b49,10364
LICENSE_AFL.txt,49d9aa4c0615ff95305681c358fa1575f54ed3a512b016f61c71d6784860dd8d,10376
Model/Indexer/OrderStatusIdsProvider.php,59956d07b5ddcf8ecde3a529b5e15a44274a6c39bef69abc4bc2596ef9cddce8,1871
Model/Indexer/OrdersDataSerializer.php,8888d89d39aa70af2ecb4780bf11e68221d9fac2cba89df629ab6612ab586650,2715
Model/Provider/Generic.php,7bd6bf52a73b2680346207ae7fae9feee03763cb7c69abe1f37283220d359611,1448
Model/Provider/OrderItems.php,be8f379e6c02306bff0337661e5b8818e7e008b9721ac427432e6dfa7fa11789,2007
Model/Provider/OrderStatuses.php,b58998f84905837e9fe385a48616e8ea2571e00a7aef03bd3dc48240b6b9953e,959
Model/Provider/Orders.php,e3619da297c3f454045e7c00335299edc7f487e83c41c62b8797099cb8acf15a,1109
Model/Query/OrdersFeedQuery.php,cfd86ee8740b9bb33acb025889570dbeb0eb112cedb93d47623b076df064fe49,1534
Observer/ReindexOrderFeed.php,c254141bb61a7d86713500ade0e176c4f5d248cc0eb90fc8077f8e7b1c7f30e7,1349
Observer/ReindexOrderFeedOnShipment.php,3366fd87b49c2679d09e8571e93bf94f0c53e132ac5ba73d40f1b7df37d56549,1399
Observer/ReindexOrderFeedOnVoid.php,73c0080b1bf793ea1d6014f88f321403a4d31c90ae5f58a350cc46eed4d1749c,1379
Plugin/ReindexOrderStatusFeed.php,fbe0ed237946a106870311937498fca9d6b876f0e1c8a3cd1774eaa0000a298c,1212
Plugin/UpdateColumnType.php,4af111f3737b7315cd6f161f3d74bca091e4f768b016ef1e720d24e9d95da978,1548
README.md,4125069d145c144294c1f23a1e750c535b1759b97af8b01449361c142eff2a3b,58
composer.json,b7f0c2c627fef37ec8f82ace825ac388e1d7b9f8f22578233d2e5444491cb450,713
etc/db_schema.xml,ce57ee77df76c96febd517e8cc31682e0c0dd4a0364e78fd8b1e9276480b1566,2318
etc/db_schema_whitelist.json,b31c6bec1652edc49c124d589ead0bb1d5f614957d9388c167c3ff757711464d,673
etc/di.xml,c3df0100a059d7d0c025db050d9c9e36fd86f6f76eda8bd47ee21887357799e9,10233
etc/et_schema.xml,48babeb83f547ee4d9f77e62b507d65be17fc3b482bdc22d17f83fed89441d69,3768
etc/events.xml,c90a489d7b81bf72e219d7265d40543884efd09299e8980ecd78875cd0c1bf95,1048
etc/indexer.xml,13aa2af1e0efabdb7a1350f868ad3a8bdf66f4a06178c67a368b7f13035145c2,992
etc/module.xml,0ca5af60ede63002e2ce54775c898cf86d47b8cbac0e951f24e9d134c9e5e2d7,574
etc/mview.xml,2c6e9d35a831956069a27d9c294474696e101e67a8d1a8d4709410b85e0795c8,966
etc/query.xml,ee4a74ee21989dc8cf7081ce404d9b75cea9e7e45c5d84f783c0f11715d0b4df,4775
i18n/en_US.csv,9e30f87f89a311501ec373f7c5400112540701a1a622fc56ccfa83b988fcea96,284
i18n/fr_FR.csv,1a7451582bff679ce6a67486107089630c606a8566a6448026883bcb60f87ca2,345
registration.php,605c3c5ab7f260d8646c27fbfe60b47f02ed2b145cd5c185fdb64f74a6607652,299
