path,sha256,size
LICENSE.txt,4c8537fd5431aafcb0ab22c49cba68febb59dd3595210f6c6c3b9212de0a7b49,10364
LICENSE_AFL.txt,26c1e3310769e3c187267cb04ae51a22694964556f9a3002f222a0fa67f47cfd,10374
Model/Css.php,c983f994425d1d219d2e0dc9a17ae4adb51ec72962f0cb6e09873e11eac88eef,1016
Model/HeadStyle.php,a6ed9526029b081bdfe1a35b7f0ba2158319d671510ab76fffb3761b82ac6859,2591
Plugin/View/Page/Config.php,687a97980dd5cc39d1022d6c6219d80bae166d5a62c3b8950fd9ef9bf2e7a401,1098
README.md,4ff0028757ce125b729a312e759d49a9edacfe5c705a6d72820c160774755dea,64
Setup/Installer.php,29fc0be9841c26405a2bfc230e21da85d39630c628d16ef4ca189a498adb18d7,1966
Setup/Patch/Data/InstallThemeSampleData.php,53d53ff48a5ba0e61744271efbc0ac3159c4a564b24078eb146a5a9a7ea5dc48,1515
composer.json,ae1a04096d66b64d5334f88e1a0e97ccfb303f6d343e6f9bc3ac8c4670522f39,506
etc/di.xml,03364b07b43e2910edd1489bf8efccfdc14d65e1d8ecd926cf4e0ff82b575b31,445
etc/module.xml,1a7c43112dccfce580327af3742bf1805c7df23730c85bc71ec08d7fb4030695,511
fixtures/styles.css,624f2be63c301c53a47e6919b496a707270c4e632335b2fb74b6ce0982263695,844
registration.php,2386925cdd6778410f94b5c3f1331b47b74564804bbeca871916809ebdb626d4,254
